Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Alabama,Macon County,Female Breast,Female,103.9,70,53266
Alabama,Lawrence County,Female Breast,Female,104.7,120,85772
Alabama,Fayette County,Female Breast,Female,101.2,64,42238
Alabama,Wilcox County,Female Breast,Female,107,36,28975
Alabama,Shelby County,Female Breast,Female,118,722,529828
Alabama,Cullman County,Female Breast,Female,116,322,205183
Alabama,Lee County,Female Breast,Female,111.4,412,389554
Alabama,Calhoun County,Female Breast,Female,112.6,435,300964
Alabama,Perry County,Female Breast,Female,112.3,37,26084
Alabama,Morgan County,Female Breast,Female,117.6,457,303128
Alabama,Barbour County,Female Breast,Female,112.7,87,62220
Alabama,Lauderdale County,Female Breast,Female,109.4,354,241685
Alabama,Etowah County,Female Breast,Female,110.4,383,266941
Alabama,Chilton County,Female Breast,Female,117.1,155,110888
Alabama,Colbert County,Female Breast,Female,112.8,217,141370
Alabama,Houston County,Female Breast,Female,107.3,364,270249
Alabama,Jackson County,Female Breast,Female,114.3,205,133400
Alabama,Walker County,Female Breast,Female,108.6,251,167283
Alabama,Henry County,Female Breast,Female,108.7,66,44202
Alabama,Tuscaloosa County,Female Breast,Female,129.7,683,523733
Alabama,Lowndes County,Female Breast,Female,118.5,43,27620
Alabama,Conecuh County,Female Breast,Female,141.5,59,33144
Alabama,Covington County,Female Breast,Female,142.1,193,97440
Alabama,Crenshaw County,Female Breast,Female,122,59,35544
Alabama,Coffee County,Female Breast,Female,118.4,185,128669
Alabama,Clay County,Female Breast,Female,119.3,54,34210
Alabama,Mobile County,Female Breast,Female,119.6,1541,1080439
Alabama,Monroe County,Female Breast,Female,133.2,99,57368
Alabama,Limestone County,Female Breast,Female,120.2,320,224674
Alabama,Blount County,Female Breast,Female,131.1,250,145902
Alabama,Bibb County,Female Breast,Female,146.6,97,52201
Alabama,Madison County,Female Breast,Female,128.1,1348,893289
Alabama,Pike County,Female Breast,Female,124,114,86504
Alabama,Russell County,Female Breast,Female,124.6,208,149996
Alabama,Bullock County,Female Breast,Female,148.9,45,24039
Alabama,Butler County,Female Breast,Female,151.9,101,54203
Alabama,St. Clair County,Female Breast,Female,137.8,369,216089
Alabama,Chambers County,Female Breast,Female,119.9,147,88475
Alabama,Dale County,Female Breast,Female,128.4,193,125351
Alabama,Dallas County,Female Breast,Female,137.7,187,111460
Alabama,Marengo County,Female Breast,Female,127.7,85,52751
Alabama,Marion County,Female Breast,Female,142.1,151,76072
Alabama,Pickens County,Female Breast,Female,167.5,103,50791
Alabama,Choctaw County,Female Breast,Female,128.2,65,34804
Alabama,Clarke County,Female Breast,Female,145.3,128,65435
Alabama,Baldwin County,Female Breast,Female,127.8,879,509761
Alabama,Lamar County,Female Breast,Female,156.4,82,36054
Alabama,Montgomery County,Female Breast,Female,121,816,598878
Alabama,Sumter County,Female Breast,Female,128.7,56,36149
Alabama,Elmore County,Female Breast,Female,119.1,290,207916
Alabama,Escambia County,Female Breast,Female,124.3,147,91591
Alabama,Jefferson County,Female Breast,Female,132.7,2736,1735217
